date,location,BC_sat,CO_sat,NO2_sat,SO2_sat
2018-01-07,Kolkata,,124.91364,,
2018-01-07,Kota,,,7416020000000000.0,-0.010159595
2018-01-07,Kozhikode,,,2842690000000000.0,-0.413703591
2018-01-07,Lucknow,,120.489858,9437480000000000.0,-0.170000002
2018-01-07,Ludhiana,,,9302360000000000.0,0.856093466
2018-01-07,Mangaluru,,,2940510000000000.0,-0.079999998
2018-01-07,Meerut,,,9153460000000000.0,-0.069824643
2018-01-07,Miami,,117.346644,,
2018-01-07,Moradabad,,,8775610000000000.0,0.185678303
2018-01-07,Mumbai,,,4394110000000000.0,-0.235118076
2018-01-07,Mysuru,,,3142930000000000.0,
2018-01-07,Nashik,,,3811490000000000.0,0.127974033
2018-01-07,NewDelhi,,,8525830000000000.0,0.059999999
2018-01-07,Patna,,140.164047,,
2018-01-07,Pondicherry,,,5286270000000000.0,-0.149999991
2018-01-07,Prayagraj,,122.003257,6219950000000000.0,-0.487107158
2018-01-07,Pune,,,4903460000000000.0,-0.071942464
2018-01-07,Shillong,,111.933332,,
2018-01-07,Solapur,,,4340090000000000.0,
2018-01-07,Srinagar,,,3092750000000000.0,0.078241728
2018-01-07,Thiruvananthapuram,,,2819750000000000.0,
2018-01-07,Varanasi,,125.844963,7809080000000000.0,-0.504999995
2018-01-07,Vijaywada,,118.336175,5553450000000000.0,-1.65999997
2018-01-07,Visakhapatnam,,130.062701,7659290000000000.0,0.275620759
2018-01-08,Agartala,,,8036170000000000.0,-0.629999995
2018-01-08,Agra,,,,
2018-01-08,Aizwal,,,1273380000000000.0,0.372054219
2018-01-08,Amritsar,,,,
2018-01-08,Asansol,,,7332320000000000.0,
2018-01-08,Aurangabad,,,,0.212213784
2018-01-08,Bareilly,,,,
2018-01-08,Belgaum,,126.776285,4294940000000000.0,0.224624321
2018-01-08,Bengaluru,,,,
2018-01-08,Bhopal,,,,
2018-01-08,Chandigarh,,,,
2018-01-08,Chennai,,132.247806,,
2018-01-08,Coimbatore,,,2737150000000000.0,-0.0833361
2018-01-08,Dehradun,,,,
2018-01-08,DurgBhilai,,,,
2018-01-08,Faridabad,,,,
