,date,NO2_govt,SO2_govt,PM2.5_govt,CO_sat,NO2_sat,SO2_sat,index
1059,2020-11-25,23.729999999999997,4.285,39.9825,123.78829233333333,6.069676880462477,0.039809267954164944,7415
1060,2020-11-26,13.255,5.285,32.36,113.03610789515459,4.181007200000001,0.032655141715033205,7420
1061,2020-11-27,16.78,4.640000000000001,34.68,113.19449833333333,5.776366675074325,0.03293120477560762,7427
1062,2020-11-28,17.905,4.3975,23.4525,115.50400296058272,5.414901333333334,8.83e-05,7439
1063,2020-11-29,15.39,4.51,26.1925,118.99586133333332,6.104096800000001,-0.026733004666666667,7441
1064,2020-11-30,19.1575,4.34,24.7075,110.69156866666667,5.593989760937861,0.196685627,7448
1065,2020-12-01,19.32,4.185,28.759999999999998,103.14397530000001,5.514014933333333,0.03227151066666666,7460
1066,2020-12-02,21.215,4.359999999999999,38.644999999999996,131.820949,6.139126862040374,0.04348583135882305,7463
1067,2020-12-03,13.44,6.761666666666667,52.160000000000004,120.28984059448317,6.148601356032846,0.041860885164997454,7469
1068,2020-12-04,11.788333333333332,6.6000000000000005,36.55,142.64757433333332,6.187374794229617,0.049876452018253935,7481
1069,2020-12-05,11.938333333333333,5.666666666666667,31.294999999999998,115.39200644882908,5.715061478193886,0.0338959866041584,7484
1070,2020-12-06,10.593333333333334,5.238333333333333,14.325,134.77013766666667,1.3052633200000001,-0.080004774,7495
1071,2020-12-07,11.051666666666668,6.048333333333333,16.622500000000002,111.87816898458198,5.416176132282182,0.029413897937230017,7498
1072,2020-12-08,12.013333333333334,6.051666666666667,18.0975,125.61213233333335,6.869037466666668,0.008354186333333331,7509
1073,2020-12-09,13.948333333333332,3.901666666666667,19.16,114.145223,5.504163818693965,0.029268261672145184,7511
1074,2020-12-10,13.498333333333333,5.255,25.387500000000003,124.73901749999999,6.372542,0.19921822600000003,7518
1075,2020-12-11,13.584999999999999,5.065,25.9825,117.54066966666666,5.667731729540527,0.033502806701618364,7530
1076,2020-12-12,14.068333333333335,3.9033333333333338,25.245,114.77741052114035,5.431276133333334,0.200000003,7532
1077,2020-12-13,10.59,4.8133333333333335,30.567500000000003,114.80491,5.679280599536783,0.032466502641246876,7539
1078,2020-12-14,13.188333333333333,4.486666666666666,37.845,116.53547918660823,5.429452533333333,0.03476798159365035,7551
1079,2020-12-15,14.93,4.588333333333334,43.825,120.95551933333333,5.931080400000002,0.25924483400000004,7554
1080,2020-12-16,14.450000000000001,4.616666666666666,35.5925,139.232725,6.136448355512021,0.949999988,7560
1081,2020-12-17,13.268333333333333,4.363333333333333,39.66833333333333,129.609058,6.166888800000001,-0.024425682,7572
